Role;Seniority;Specialization;Skill;Proficiency
Software Developer;Lead;Java;PostgreSQL;3
Software Developer;Lead;Java;REST;3
Software Developer;Lead;Java;REST;5
Software Developer;Lead;Java;Spring Boot;4
Software Developer;Lead;Java;Spring Framework;4
Software Developer;Lead;Java;SQL;3
Test Engineer;Senior;QA Automation;Git;3
Test Engineer;Senior;QA Automation;Java;3
Test Engineer;Senior;QA Automation;PostgreSQL;3
Test Engineer;Senior;QA Automation;Postman;3
Test Engineer;Senior;QA Automation;Selenium;3
Test Engineer;Senior;QA Automation;SQL;3
Project Manager;Senior;Engineering Project Management;Project Management;3
Test Engineer;Lead;QA Manual;Atlassian Confluence;3
Test Engineer;Lead;QA Manual;Atlassian Jira;3
Test Engineer;Lead;QA Manual;Atlassian Jira;4
Test Engineer;Lead;QA Manual;Functional Testing;5
Test Engineer;Lead;QA Manual;Manual Testing;5
Test Engineer;Lead;QA Manual;PostgreSQL;3
Test Engineer;Lead;QA Manual;Postman;3
Test Engineer;Lead;QA Manual;Regression Testing;5
Test Engineer;Lead;QA Manual;SQL;3
Test Engineer;Lead;QA Manual;Test design;4
Application Engineer;Senior;DevOps;Ansible;4
Application Engineer;Senior;DevOps;Docker;3
Application Engineer;Senior;DevOps;Grafana;3
Application Engineer;Senior;DevOps;Jenkins;3
Application Engineer;Senior;DevOps;Jenkins;4
Application Engineer;Senior;DevOps;Kubernetes;3
Application Engineer;Senior;DevOps;Kubernetes;4
Application Engineer;Senior;DevOps;Linux;4
